1,6,43
1,8,11
1,11,0
1,38,5
1,42,0
1,61,0
1,89,-4
1,94,3
1,103,1
1,106,4
1,150,-5
1,151,4
1,162,33
1,191,59
1,234,-1
1,333,18
1,410,0
1,487,0
1,503,16
1,525,6
1,557,0
1,560,3
1,629,10
1,643,9
1,688,10
1,702,0
1,778,0
1,797,2
1,859,41
1,877,1
1,892,0
1,995,1
1,1157,1
1,1298,10
1,1334,0
1,1361,2
1,1468,1
1,1555,2
1,1982,2
1,2265,1
1,2309,1
1,2332,27
1,2337,2
1,2420,0
1,2443,13
1,2622,2
1,2682,3
1,2710,2
1,2796,1
1,2909,1
1,2917,1
1,3138,2
1,3270,8
1,3306,2
1,3429,1
1,3706,3
1,3742,2
1,4138,0
1,4270,2
1,5029,5
1,8109,-1
1,8287,2
1,8508,15
1,8954,2
1,9045,1
1,9187,1
1,9273,2
1,9283,1
1,9484,2
1,9649,6
1,10141,1
1,10449,2
1,11449,0
1,12594,1
1,12613,-2
1,13245,1
1,13991,2
1,15605,1
1,15882,2
1,16437,1
1,17534,1
1,18854,1
1,18899,1
1,20011,1
1,26248,1
1,33086,1
1,33410,1
1,38764,1
1,45354,5
1,48030,1
1,58787,0
1,61748,1
1,87685,1
1,92910,1
1,101290,-4
1,103709,1
1,107583,2
1,3540294014,62
1,3540306308,0
1,3540310874,1
1,3540314744,0
1,3540324572,1
1,3540327699,0
1,3540328910,1
1,3540332709,1
1,3540337377,1
1,3540339931,1
1,3540351774,0
1,3540355082,1
1,3540362897,1
1,3540367832,4
1,3540371121,1
1,3540372120,2
1,3540378671,3
3,4,50
3,12,2
3,25,7
3,32,59
3,39,0
3,74,16
3,83,0
3,112,1
3,125,0
3,138,0
3,156,2
3,158,130
3,159,126
3,166,1
3,170,3
3,171,1
3,172,2
3,192,2
3,193,3
3,201,0
3,215,9
3,216,-3
3,221,83
3,260,4
3,306,23
3,313,10
3,329,49
3,331,0
3,377,15
3,388,9
3,391,48
3,421,2
3,431,2
3,502,0
3,529,5
3,538,24
3,549,0
3,568,23
3,603,0
3,604,2
3,676,-1
3,742,24
3,755,9
3,774,7
3,900,29
3,902,0
3,906,9
3,967,4
3,984,8
3,987,92
3,1029,1
3,1069,2
3,1079,1
3,1162,1
3,1187,0
3,1206,0
3,1447,2
3,1510,2
3,1695,1
3,1721,1
3,2000,6
3,2015,0
3,2158,1
3,2230,10
3,2289,0
3,2309,0
3,2326,0
3,2607,1
3,2727,2
3,3813,1
3,4033,0
3,4139,2
3,4212,0
3,4667,22
3,5734,4
3,6082,1
