324,76,raZe,90,2002-08-08
325,155,Spinal,85,2002-08-09
333,2497,Vic,79,2002-08-09
334,2491,Vic,99,2002-08-09
335,3133,Vic,94,2002-08-09
336,1845,Vic,93,2002-08-09
337,2219,Vic,92,2002-08-09
338,2368,Vic,100,2002-08-09
339,2629,Vic,88,2002-08-09
340,1356,Vic,83,2002-08-09
341,3534,Vic,96,2002-08-09
342,2865,Vic,88,2002-08-09
343,2597,Vic,88,2002-08-09
344,1166,Vic,95,2002-08-09
345,1167,Vic,95,2002-08-09
346,1278,Vic,99,2002-08-09
347,1280,Vic,97,2002-08-09
350,652,HawkMoon,25,2002-08-10
352,3151,Spinal,15,2002-08-10
354,3094,Spinal,98,2002-08-10
355,921,HawkMoon,97,2002-08-10
356,1437,HawkMoon,90,2002-08-10
359,278,HawkMoon,65,2002-08-10
363,412,HawkMoon,98,2002-08-10
364,413,HawkMoon,15,2002-08-10
366,2765,HawkMoon,53,2002-08-10
368,212,UltraBoris,81,2002-08-10
369,207,UltraBoris,89,2002-08-10
370,208,UltraBoris,88,2002-08-10
371,214,UltraBoris,94,2002-08-10
372,218,UltraBoris,80,2002-08-10
373,220,UltraBoris,90,2002-08-10
383,81,UltraBoris,54,2002-08-10
407,419,HawkMoon,55,2002-08-11
408,239,HawkMoon,89,2002-08-11
412,645,HawkMoon,89,2002-08-11
413,651,HawkMoon,83,2002-08-11
416,1721,HawkMoon,98,2002-08-11
418,436,HawkMoon,100,2002-08-11
420,904,HawkMoon,89,2002-08-11
427,705,mrbungle44,87,2002-08-11
428,1323,Rainbow,97,2002-08-11
430,538,raZe,90,2002-08-11
432,662,UltraBoris,86,2002-08-11
433,664,UltraBoris,85,2002-08-11
434,593,UltraBoris,93,2002-08-11
435,668,UltraBoris,66,2002-08-11
436,669,UltraBoris,81,2002-08-11
438,670,UltraBoris,36,2002-08-11
441,1035,UltraBoris,88,2002-08-11
442,1377,UltraBoris,88,2002-08-11
443,1386,UltraBoris,80,2002-08-11
444,1401,UltraBoris,89,2002-08-11
445,1038,UltraBoris,56,2002-08-11
447,1956,UltraBoris,82,2002-08-11
450,1965,UltraBoris,76,2002-08-11
451,1967,UltraBoris,86,2002-08-11
452,207,raZe,50,2002-08-11
457,906,HawkMoon,68,2002-08-12
458,11,HawkMoon,69,2002-08-12
463,4083,HawkMoon,35,2002-08-12
469,2937,HawkMoon,85,2002-08-12
470,77,raZe,100,2002-08-12
474,1844,UltraBoris,77,2002-08-13
476,4141,UltraBoris,46,2002-08-13
477,1838,UltraBoris,69,2002-08-13
484,889,UltraBoris,60,2002-08-13
486,222,UltraBoris,11,2002-08-13
487,221,UltraBoris,75,2002-08-13
488,209,UltraBoris,83,2002-08-13
489,1508,UltraBoris,34,2002-08-13
491,3524,UltraBoris,15,2002-08-13
497,3432,UltraBoris,92,2002-08-13
498,4185,UltraBoris,91,2002-08-13
499,4128,UltraBoris,82,2002-08-13
500,3440,UltraBoris,87,2002-08-13
501,2091,UltraBoris,78,2002-08-13
507,250,Ktulu,98,2002-08-13
515,3125,UltraBoris,64,2002-08-14
516,3126,UltraBoris,66,2002-08-14
517,1077,UltraBoris,90,2002-08-14
520,3200,UltraBoris,41,2002-08-14
521,3206,UltraBoris,80,2002-08-14
523,1444,UltraBoris,91,2002-08-14
526,697,UltraBoris,82,2002-08-14
539,4209,UltraBoris,79,2002-08-14
545,4277,UltraBoris,88,2002-08-14
546,2213,UltraBoris,88,2002-08-14
547,246,Ktulu,92,2002-08-14
548,545,UltraBoris,90,2002-08-14
564,1357,UltraBoris,86,2002-08-17
565,1358,UltraBoris,86,2002-08-17
566,1359,UltraBoris,90,2002-08-17
568,1367,UltraBoris,86,2002-08-17
570,4735,UltraBoris,66,2002-08-18
571,2875,UltraBoris,82,2002-08-18
572,2881,UltraBoris,90,2002-08-18
573,1378,UltraBoris,51,2002-08-18
574,741,UltraBoris,72,2002-08-18
576,1171,UltraBoris,44,2002-08-18
577,728,UltraBoris,94,2002-08-18
584,3241,UltraBoris,87,2002-08-18
585,276,UltraBoris,8,2002-08-18
588,4224,UltraBoris,75,2002-08-18
591,2469,UltraBoris,69,2002-08-18
592,2470,UltraBoris,73,2002-08-18
593,2471,UltraBoris,91,2002-08-18
594,2472,UltraBoris,70,2002-08-18
595,2473,UltraBoris,85,2002-08-18
600,600,UltraBoris,77,2002-08-18
601,601,UltraBoris,84,2002-08-18
602,604,UltraBoris,76,2002-08-18
603,605,UltraBoris,86,2002-08-18
606,1920,UltraBoris,64,2002-08-18
607,2600,UltraBoris,34,2002-08-18
609,4777,UltraBoris,72,2002-08-18
617,2907,UltraBoris,70,2002-08-19
618,2910,UltraBoris,63,2002-08-19
619,2914,UltraBoris,59,2002-08-19
621,2922,UltraBoris,59,2002-08-19
622,2923,UltraBoris,69,2002-08-19
626,323,DeadFetus,92,2002-08-19
628,5000,Skyklad,90,2002-08-20
631,588,Skyklad,88,2002-08-20
632,1762,Skyklad,90,2002-08-20
633,1763,Skyklad,90,2002-08-20
636,3975,Skyklad,80,2002-08-20
639,2280,Skyklad,85,2002-08-21
641,5029,Skyklad,100,2002-08-21
643,2656,Skyklad,95,2002-08-21
645,5030,Skyklad,80,2002-08-21
646,3174,Skyklad,65,2002-08-21
648,2022,UltraBoris,94,2002-08-21
649,2430,UltraBoris,77,2002-08-21
650,2431,UltraBoris,69,2002-08-21
651,4778,UltraBoris,54,2002-08-21
652,4216,UltraBoris,75,2002-08-21
653,1103,UltraBoris,83,2002-08-21
654,3411,UltraBoris,85,2002-08-21
655,4129,UltraBoris,55,2002-08-21
656,2536,UltraBoris,15,2002-08-21
659,2368,UltraBoris,97,2002-08-21
660,508,UltraBoris,83,2002-08-21
664,484,UltraBoris,83,2002-08-21
668,1090,UltraBoris,80,2002-08-21
669,1092,UltraBoris,80,2002-08-21
671,1089,UltraBoris,78,2002-08-21
672,1088,UltraBoris,85,2002-08-21
673,1583,UltraBoris,53,2002-08-21
674,1575,UltraBoris,70,2002-08-21
675,1255,UltraBoris,83,2002-08-21
676,4092,UltraBoris,45,2002-08-21
677,2656,UltraBoris,51,2002-08-21
679,1596,UltraBoris,65,2002-08-21
683,1236,UltraBoris,26,2002-08-21
684,482,UltraBoris,76,2002-08-21
685,536,UltraBoris,73,2002-08-21
686,245,UltraBoris,29,2002-08-21
687,4627,UltraBoris,83,2002-08-21
688,4628,UltraBoris,69,2002-08-21
690,5190,UltraBoris,34,2002-08-22
693,5275,UltraBoris,79,2002-08-23
694,5276,UltraBoris,89,2002-08-23
695,5288,UltraBoris,73,2002-08-23
696,5289,UltraBoris,82,2002-08-23
697,5277,UltraBoris,59,2002-08-23
698,5292,UltraBoris,69,2002-08-23
699,5293,UltraBoris,77,2002-08-23
700,5294,UltraBoris,59,2002-08-23
701,5296,UltraBoris,55,2002-08-23
702,5297,UltraBoris,45,2002-08-23
703,5298,UltraBoris,84,2002-08-23
704,5300,UltraBoris,90,2002-08-23
705,5301,UltraBoris,66,2002-08-23
706,5302,UltraBoris,70,2002-08-23
707,5308,UltraBoris,92,2002-08-23
708,5309,UltraBoris,79,2002-08-23
709,131,The_Crimson_King,96,2002-08-23
717,5364,UltraBoris,30,2002-08-23
718,5365,UltraBoris,39,2002-08-23
719,5314,UltraBoris,80,2002-08-23
721,5377,UltraBoris,77,2002-08-23
722,5374,UltraBoris,80,2002-08-23
723,1362,UltraBoris,5,2002-08-23
725,5291,UltraBoris,77,2002-08-23
726,5290,UltraBoris,75,2002-08-24
734,1133,UltraBoris,30,2002-08-24
735,309,UltraBoris,76,2002-08-24
736,589,UltraBoris,69,2002-08-24
737,585,UltraBoris,62,2002-08-24
738,311,UltraBoris,59,2002-08-24
739,3388,HawkMoon,100,2002-08-24
740,3387,UltraBoris,86,2002-08-24
742,855,UltraBoris,36,2002-08-24
746,4400,UltraBoris,81,2002-08-25
747,2396,UltraBoris,78,2002-08-25
749,2397,UltraBoris,85,2002-08-25
750,2398,UltraBoris,80,2002-08-25
751,636,vonDread,100,2002-08-25
762,810,UltraBoris,69,2002-08-26
763,815,UltraBoris,66,2002-08-26
764,844,UltraBoris,52,2002-08-26
765,845,UltraBoris,68,2002-08-26
766,997,UltraBoris,39,2002-08-26
767,1001,UltraBoris,20,2002-08-26
769,504,UltraBoris,84,2002-08-26
770,517,UltraBoris,77,2002-08-26
771,521,UltraBoris,92,2002-08-26
772,2510,UltraBoris,65,2002-08-26
776,148,Crimsonblood,88,2002-08-27
778,1457,UltraBoris,89,2002-08-27
779,1242,UltraBoris,79,2002-08-27
780,1227,UltraBoris,81,2002-08-27
781,1234,UltraBoris,75,2002-08-27
783,2793,UltraBoris,19,2002-08-27
785,5861,UltraBoris,83,2002-08-27
787,841,Crimsonblood,85,2002-08-28
788,841,UltraBoris,70,2002-08-28
789,176,UltraBoris,90,2002-08-28
790,174,UltraBoris,80,2002-08-28
791,304,UltraBoris,79,2002-08-28
792,166,UltraBoris,30,2002-08-28
793,463,UltraBoris,90,2002-08-28
794,1789,Crimsonblood,94,2002-08-28
797,312,FatalStrike,80,2002-08-30
799,3647,Skyklad,75,2002-08-30
800,3899,Skyklad,90,2002-08-30
801,190,Skyklad,70,2002-08-30
804,654,Skyklad,85,2002-08-30
805,2085,Skyklad,75,2002-08-30
807,1965,Skyklad,96,2002-08-30
819,12,FatalStrike,95,2002-08-31
820,1655,FatalStrike,96,2002-08-31
827,847,FatalStrike,99,2002-09-01
835,409,Kriegsminister,22,2002-09-01
839,3032,VileRancour,96,2002-09-02
841,6014,Crimsonblood,92,2002-09-03
842,1152,Crimsonblood,90,2002-09-03
844,259,Ktulu,93,2002-09-03
847,1956,Ktulu,87,2002-09-03
849,3022,austin,90,2002-09-04
850,2237,austin,85,2002-09-04
851,2162,austin,40,2002-09-04
860,839,Crimsonblood,95,2002-09-06
867,4016,DamnRight,90,2002-09-07
869,1010,DamnRight,65,2002-09-07
870,1907,DamnRight,85,2002-09-07
917,29,Crimsonblood,94,2002-09-08
925,29,HawkMoon,85,2002-09-10
930,1374,HawkMoon,96,2002-09-10
943,3648,DamnRight,75,2002-09-10
947,434,Crimsonblood,100,2002-09-12
950,982,Crimsonblood,80,2002-09-12
951,6489,DeadFetus,47,2002-09-13
955,435,Crimsonblood,80,2002-09-15
959,1507,Crimsonblood,98,2002-09-17
969,4105,Thrash_Till_Death,95,2002-09-19
972,378,VileRancour,99,2002-09-20
973,6879,DeadFetus,89,2002-09-20
981,4109,Ktulu,88,2002-09-21
982,7208,SICKENED,90,2002-09-22
989,1264,DamnRight,97,2002-09-22
1001,857,Nightcrawler,92,2002-09-23
1005,465,Crimsonblood,100,2002-09-24
1013,6043,Thrash_Till_Death,80,2002-09-24
1014,954,theboycopeland,85,2002-09-24
1021,949,theboycopeland,95,2002-09-25
1022,1467,Nightcrawler,88,2002-09-25
1028,578,Harvester_of_Storms,95,2002-09-26
1032,1136,gor,100,2002-09-26
1034,951,theboycopeland,65,2002-09-27
1039,2423,Ktulu,76,2002-09-27
1044,3804,Rainbow,85,2002-09-27
1045,2866,Thrash_Till_Death,95,2002-09-28
1047,176,Nightcrawler,91,2002-09-28
1048,2786,Rolly,100,2002-09-28
1059,1133,Nightcrawler,86,2002-09-29
1070,995,fetal_vomit,93,2002-09-29
1074,594,Sinner,80,2002-09-29
1082,2427,Skyklad,95,2002-09-30
1089,5026,Skyklad,95,2002-09-30
1090,3760,Skyklad,85,2002-09-30
1101,1185,Sinner,90,2002-09-30
1109,324,Blastbeats,100,2002-10-01
1112,1,J_Paragon_S,97,2002-10-01
1124,662,Kingravi,95,2002-10-01
1125,7078,MHITO,80,2002-10-02
1127,2422,MHITO,95,2002-10-02
1148,5278,Crimsonblood,82,2002-10-02
1149,8273,Skyklad,65,2002-10-03
1150,8274,Skyklad,85,2002-10-03
1151,386,Ayeka,75,2002-10-03
1155,698,Skyklad,45,2002-10-04
1156,5067,Skyklad,90,2002-10-04
1157,2307,Skyklad,85,2002-10-04
1158,8348,Skyklad,85,2002-10-04
1159,5063,Skyklad,95,2002-10-04
1160,5064,Skyklad,95,2002-10-04
1161,6100,Skyklad,100,2002-10-04
1165,5066,Skyklad,85,2002-10-04
1170,8488,Skyklad,83,2002-10-04
1173,1099,MHITO,100,2002-10-05
1183,3665,Thrash_Till_Death,65,2002-10-07
1184,8803,Thrash_Till_Death,85,2002-10-07
1185,2403,MHITO,90,2002-10-07
1200,164,Crimsonblood,95,2002-10-07
1208,7574,Ayeka,60,2002-10-09
1209,419,Ayeka,75,2002-10-09
1216,7491,Sinner,95,2002-10-10
1220,8707,DeadFetus,45,2002-10-11
1222,826,Nightcrawler,85,2002-10-12
1241,4,Thrash_Till_Death,65,2002-10-14
1242,7986,Sinner,65,2002-10-15
1243,2162,Sinner,60,2002-10-15
1245,486,Sinner,80,2002-10-15
1249,1337,Sinner,80,2002-10-15
1254,197,Sinner,85,2002-10-15
1273,2142,Sinner,72,2002-10-15
1279,241,Sinner,90,2002-10-15
1292,5832,Thrash_Till_Death,95,2002-10-15
1301,2209,Crimsonblood,90,2002-10-16
1307,544,raZe,93,2002-10-17
1309,131,ShrediKnight,100,2002-10-17
1310,3954,Orphaned_Light,92,2002-10-17
1311,776,Thrash_Till_Death,85,2002-10-17
1312,2950,J_Paragon_S,86,2002-10-17
1313,3427,Nightcrawler,93,2002-10-18
1314,8926,DeadFetus,65,2002-10-18
1316,4250,UltraBoris,84,2002-10-18
1321,58,UltraBoris,85,2002-10-18
1324,79,raZe,98,2002-10-19
1325,5363,UltraBoris,68,2002-10-19
1326,12,Nightcrawler,88,2002-10-19
1332,3683,Ktulu,90,2002-10-20
1333,2142,Thrash_Till_Death,70,2002-10-21
1334,902,Ayeka,40,2002-10-21
1341,505,Ayeka,75,2002-10-22
1342,269,Smyrma,78,2002-10-22
1346,76,Crimsonblood,95,2002-10-23
1347,4558,dragons_secrets,100,2002-10-23
1359,594,Crimsonblood,75,2002-10-25
1361,269,REINCREMATION,100,2002-10-26
1363,209,Ayeka,80,2002-10-27
1364,6560,DeadFetus,22,2002-10-27
1365,3796,Ayeka,70,2002-10-27
1374,8906,Skyklad,80,2002-10-28
1375,8499,Skyklad,100,2002-10-28
1376,10096,Skyklad,50,2002-10-28
1377,5018,Skyklad,95,2002-10-28
1378,8919,Skyklad,95,2002-10-28
1379,5019,Skyklad,95,2002-10-28
1380,5024,Skyklad,88,2002-10-28
1382,5020,Skyklad,80,2002-10-28
1383,7549,Skyklad,72,2002-10-28
1384,8917,Skyklad,50,2002-10-28
1385,8184,Skyklad,88,2002-10-28
1388,547,raZe,96,2002-10-28
1393,6659,HawkMoon,66,2002-10-29
1394,791,Colonel_Kurtz,73,2002-10-29
1396,3760,s8n,90,2002-10-30
1399,1901,Crimsonblood,88,2002-10-30
1405,10917,Rottrephile,23,2002-11-01
1428,264,MacMoney,78,2002-11-04
1429,7619,MacMoney,82,2002-11-04
1430,1342,MacMoney,36,2002-11-04
1431,4952,MacMoney,31,2002-11-04
1440,2114,HawkMoon,80,2002-11-05
1441,777,MacMoney,60,2002-11-05
1443,3303,MacMoney,78,2002-11-05
1445,602,MacMoney,78,2002-11-05
1446,306,MacMoney,52,2002-11-05
1448,475,MacMoney,84,2002-11-05
1454,1136,John,100,2002-11-06
1457,131,Demented666,100,2002-11-06
1472,2583,MacMoney,75,2002-11-07
1473,260,MacMoney,46,2002-11-07
1474,1150,MacMoney,95,2002-11-07
1477,11127,HawkMoon,95,2002-11-08
1486,11151,DeadFetus,82,2002-11-09
1487,485,Nightcrawler,75,2002-11-09
1490,825,Ayeka,85,2002-11-10
1491,7724,Daedagor,94,2002-11-10
